126794236516480 -
136679711954688 lock
136679711954640 log_prior
136679711954592 send
136679711961552 recv
126794238328368 log_likelihood
126794255490784 send
126794235084624 process_conf
126794235084384 preprocess_data
126794235138352 log_likelihood2
< 126794236516480 2911992 126800800096384 1780985081.749463
> 126794238328368 2911992 126800800096384 1780985081.749739
> 126794235084624 2911992 126800800096384 1780985081.7497623
< 126794235084624 2911992 126800800096384 1780985081.7554286
> 126794235084384 2911992 126800800096384 1780985081.7554893
< 126794235084384 2911992 126800800096384 1780985081.755995
> 126794235138352 2911992 126800800096384 1780985081.7560143
< 126794235138352 2911992 126800800096384 1780985081.8314872
< 126794238328368 2911992 126800800096384 1780985081.831539
> 126794255490784 2911992 126800800096384 1780985081.831555
< 126794255490784 2911992 126800800096384 1780985081.9111965
< 136679711961552 2912060 136686256525440 1780985081.919084
> 136679711954688 2912060 136686256525440 1780985081.919235
< 136679711954688 2912060 136686256525440 1780985081.919261
> 136679711954640 2912060 136686256525440 1780985081.9194014
< 136679711954640 2912060 136686256525440 1780985081.919998
> 136679711954592 2912060 136686256525440 1780985081.920012
> 126794236516480 2911992 126800800096384 1780985081.9910994
< 126794236516480 2911992 126800800096384 1780985081.9912288
< 136679711954592 2912060 136686256525440 1780985082.001572
> 136679711961552 2912060 136686256525440 1780985082.0016034
> 126794236516480 2911992 126800800096384 1780985082.073902
< 126794236516480 2911992 126800800096384 1780985082.0740125
> 126794238328368 2911992 126800800096384 1780985082.0742784
> 126794235084624 2911992 126800800096384 1780985082.0743008
< 126794235084624 2911992 126800800096384 1780985082.079938
> 126794235084384 2911992 126800800096384 1780985082.079972
< 126794235084384 2911992 126800800096384 1780985082.08048
> 126794235138352 2911992 126800800096384 1780985082.0805085
< 126794235138352 2911992 126800800096384 1780985082.1820102
< 126794238328368 2911992 126800800096384 1780985082.182064
> 126794255490784 2911992 126800800096384 1780985082.1820815
< 126794255490784 2911992 126800800096384 1780985082.2633324
< 136679711961552 2912060 136686256525440 1780985082.2660441
> 136679711954688 2912060 136686256525440 1780985082.2661006
< 136679711954688 2912060 136686256525440 1780985082.2661176
> 136679711954640 2912060 136686256525440 1780985082.2662861
< 136679711954640 2912060 136686256525440 1780985082.2667472
> 136679711954592 2912060 136686256525440 1780985082.2667606
> 126794236516480 2911992 126800800096384 1780985082.345285
< 126794236516480 2911992 126800800096384 1780985082.345358
